data,ora,temperatura,umidita
17/04/2026,08:00,18.2,0.51
17/04/2026,08:30,19.3,0.52
17/04/2026,09:00,19.8,0.47
17/04/2026,09:30,20.4,0.47
17/04/2026,10:00,21.6,0.47
17/04/2026,10:30,22.2,0.43
17/04/2026,11:00,22.3,0.43
17/04/2026,11:30,23.2,0.44
17/04/2026,12:00,23.4,0.36
17/04/2026,12:30,24.3,0.40
17/04/2026,13:00,24.3,0.38
17/04/2026,13:30,24.3,0.37
17/04/2026,14:00,25.2,0.34
17/04/2026,14:30,25.0,0.38
17/04/2026,15:00,25.3,0.35
17/04/2026,15:30,25.1,0.36
17/04/2026,16:00,25.3,0.36
17/04/2026,16:30,24.3,0.34
17/04/2026,17:00,24.0,0.40
17/04/2026,17:30,23.7,0.38
17/04/2026,18:00,23.4,0.39
17/04/2026,18:30,22.6,0.41
17/04/2026,19:00,22.9,0.43
17/04/2026,19:30,22.3,0.43
17/04/2026,20:00,21.8,0.44
17/04/2026,20:30,20.7,0.48
17/04/2026,21:00,20.5,0.52
17/04/2026,21:30,19.1,0.52
17/04/2026,22:00,19.2,0.54
17/04/2026,22:30,18.4,0.58
17/04/2026,23:00,17.3,0.60
17/04/2026,23:30,17.1,0.60
18/04/2026,00:00,16.2,0.60
18/04/2026,00:30,16.1,0.62
18/04/2026,01:00,15.9,0.64
18/04/2026,01:30,15.5,0.66
18/04/2026,02:00,14.9,0.64
18/04/2026,02:30,15.5,0.63
18/04/2026,03:00,15.5,0.68
18/04/2026,03:30,15.2,0.63
18/04/2026,04:00,15.6,0.63
18/04/2026,04:30,15.6,0.65
18/04/2026,05:00,15.5,0.62
18/04/2026,05:30,15.6,0.62
18/04/2026,06:00,16.3,0.59
18/04/2026,06:30,17.4,0.57
18/04/2026,07:00,17.9,0.57
18/04/2026,07:30,18.1,0.53
18/04/2026,08:00,19.1,0.52
18/04/2026,08:30,19.4,0.51
